pulse_one: freq: 440.3969, timer: 253, volume: 0, duty: 2, length_counter: 17, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: false, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 0, duty: 2, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: false, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: false, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: true, sweep_period: 5, sweep_shift: 5
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: false, sweep_negate: true, sweep_period: 7, sweep_shift: 7
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: false, sweep_negate: true, sweep_period: 7, sweep_shift: 7
pulse_one: freq: 440.3969, timer: 253, volume: 10, duty: 1, length_counter: 1, is_loop: false, is_envelope: false, is_sweep: true, sweep_negate: false, sweep_period: 5, sweep_shift: 5
